LAD19CD,TacticalCell,LAD_int_Proportion of neighbourhoods in 20% most digitally excluded,LAD_int_Percentage of population who are ethnic minority,"LAD_int_Latest COVID-19 cases per 100,000",LAD_int_Fuel Poor Households,LAD_int_Homelessness (rate per 1000),LAD_int_Clinically extremely vulnerable,LAD_int_Unemployed receiving Universal Credit,LAD_int_People receiving Section 95 support,LAD_perc_Proportion of neighbourhoods in 20% most digitally excluded,LAD_perc_Percentage of population who are ethnic minority,"LAD_perc_Latest COVID-19 cases per 100,000",LAD_perc_Fuel Poor Households,LAD_perc_Homelessness (rate per 1000),LAD_perc_Clinically extremely vulnerable,LAD_perc_Unemployed receiving Universal Credit,LAD_perc_People receiving Section 95 support,tc_int_Proportion of neighbourhoods in 20% most digitally excluded,tc_int_Percentage of population who are ethnic minority,"tc_int_Latest COVID-19 cases per 100,000",tc_int_Fuel Poor Households,tc_int_Homelessness (rate per 1000),tc_int_Clinically extremely vulnerable,tc_int_Unemployed receiving Universal Credit,tc_int_People receiving Section 95 support,tc_perc_Proportion of neighbourhoods in 20% most digitally excluded,tc_perc_Percentage of population who are ethnic minority,"tc_perc_Latest COVID-19 cases per 100,000",tc_perc_Fuel Poor Households,tc_perc_Homelessness (rate per 1000),tc_perc_Clinically extremely vulnerable,tc_perc_Unemployed receiving Universal Credit,tc_perc_People receiving Section 95 support
E07000228,South East,NA,NA,NA,3988,0.654,5295,4018,1,0,NA,NA,6.5,NA,3.5,2.7,NA,NA,NA,NA,362806,NA,404735,466942,1253,0.009569377990430622,13.6,NA,8.3,NA,3.9,4.5,NA
E07000229,South East,NA,NA,NA,3957,1.104,3935,4936,NA,0,8.8,NA,7.9,NA,3.6,4.5,NA,NA,NA,NA,362806,NA,404735,466942,1253,0.009569377990430622,13.6,NA,8.3,NA,3.9,4.5,NA
E07000234,Central,NA,NA,NA,3383,1.675,3210,3279,NA,0.14285714285714285,5.7,NA,8.4,NA,3.3,3.3,NA,NA,NA,NA,615752.5,NA,516055,698460,8802,0.3305084745762712,19.6,NA,11.1,NA,3.8,5.2,NA
E07000235,Central,NA,NA,NA,4150,1.113,2750,2725,NA,0.18181818181818182,NA,NA,12.2,NA,3.5,3.5,NA,NA,NA,NA,615752.5,NA,516055,698460,8802,0.3305084745762712,19.6,NA,11.1,NA,3.8,5.2,NA
E07000236,Central,NA,NA,NA,3058,3.23,2800,4664,6,0.23076923076923078,NA,NA,8.3,NA,3.3,5.5,NA,NA,NA,NA,615752.5,NA,516055,698460,8802,0.3305084745762712,19.6,NA,11.1,NA,3.8,5.2,NA
E07000237,Central,NA,NA,NA,4392,3.6,2905,4756,NA,0.21428571428571427,6.8,NA,9.9,NA,2.9,4.7,NA,NA,NA,NA,615752.5,NA,516055,698460,8802,0.3305084745762712,19.6,NA,11.1,NA,3.8,5.2,NA
E07000238,Central,NA,NA,NA,5416,2.489,4750,4576,NA,0.3157894736842105,NA,NA,10.3,NA,3.7,3.6,NA,NA,NA,NA,615752.5,NA,516055,698460,8802,0.3305084745762712,19.6,NA,11.1,NA,3.8,5.2,NA
E07000239,Central,NA,NA,NA,4746,3.657,3525,4881,2,0.5,NA,NA,10.4,NA,3.5,4.8,NA,NA,NA,NA,615752.5,NA,516055,698460,8802,0.3305084745762712,19.6,NA,11.1,NA,3.8,5.2,NA
E07000240,South East,NA,NA,NA,4114,2.177,4170,4514,10,0,15.5,NA,6.9,NA,2.8,3.1,NA,NA,NA,NA,362806,NA,404735,466942,1253,0.009569377990430622,13.6,NA,8.3,NA,3.9,4.5,NA
E07000241,South East,NA,NA,NA,3875,3.389,9075,5092,12,0,15.3,NA,8.3,NA,7.4,4.1,NA,NA,NA,NA,362806,NA,404735,466942,1253,0.009569377990430622,13.6,NA,8.3,NA,3.9,4.5,NA
